ds,y
2023-01-01,199.5285806313731
2023-01-02,200.5459694935844
2023-01-03,195.8691851615134
2023-01-04,195.30461537938646
2023-01-05,195.01634324737572
2023-01-06,192.35686114897936
2023-01-07,205.97955185216267
2023-01-08,205.09944547469294
2023-01-09,203.1110155553898
2023-01-10,196.2927145202652
2023-01-11,196.45589717572986
2023-01-12,195.64191640269206
2023-01-13,199.59572829836304
2023-01-14,195.44692234841452
2023-01-15,197.1818984398164
2023-01-16,192.05334421144514
2023-01-17,196.01115466984353
2023-01-18,194.10056268302196
2023-01-19,191.6512121432794
2023-01-20,188.7977787335977
2023-01-21,186.76890832250837
2023-01-22,192.66090382932907
2023-01-23,197.3948045818401
2023-01-24,196.8224728790899
2023-01-25,201.0547229861922
2023-01-26,197.62973922679612
2023-01-27,183.83087868700204
2023-01-28,183.76692729652268
2023-01-29,180.49594078238582
2023-01-30,172.48492133678099
2023-01-31,179.30500009368978
2023-02-01,176.8041331098844
2023-02-02,179.22024960412944
2023-02-03,182.9506081446701
2023-02-04,202.1426862757148
2023-02-05,204.83720171567168
2023-02-06,196.23796789000588
2023-02-07,190.95976348295406
2023-02-08,192.69185218217947
2023-02-09,195.34370401812674
2023-02-10,196.1272616724901
2023-02-11,198.92074242397698
2023-02-12,197.5865209758817
2023-02-13,196.22786610464843
2023-02-14,195.48638189286987
2023-02-15,193.03366382116874
2023-02-16,195.43229021332522
2023-02-17,191.64437478517533
2023-02-18,186.75602553706244
2023-02-19,190.72181262776778
2023-02-20,192.35915815852263
2023-02-21,188.61620144437325
2023-02-22,194.53463306603132
2023-02-23,191.61169220627107
2023-02-24,198.89475491348128
2023-02-25,208.49356379745814
2023-02-26,205.35160928405688
2023-02-27,208.19203035304324
2023-02-28,216.3089869883662
2023-03-01,220.50135787748462
2023-03-02,222.14529802414114
2023-03-03,219.1342695861403
2023-03-04,217.9575717914051
2023-03-05,217.8546572270298
2023-03-06,221.10042993404574
2023-03-07,215.66549526625425
2023-03-08,208.61341131243015
2023-03-09,203.11943321074844
2023-03-10,195.46748968954776
2023-03-11,192.3804409393875
2023-03-12,197.09619672448983
2023-03-13,191.13982835106157
2023-03-14,189.0249971958521
2023-03-15,185.85296743159512
2023-03-16,186.4404913835076
2023-03-17,190.6647013557116
2023-03-18,186.49090564305763
2023-03-19,190.14797334617828
2023-03-20,194.9519071167883
2023-03-21,191.35620137476837
2023-03-22,192.29166918330642
2023-03-23,193.14475926611138
2023-03-24,195.79023770022945
2023-03-25,189.5317765029194
2023-03-26,185.02472943041636
2023-03-27,183.13092079342888
2023-03-28,185.6861294042862
2023-03-29,182.32394550428728
2023-03-30,175.75260249475673
2023-03-31,176.94497057805006
2023-04-01,172.75674539325198
2023-04-02,174.98842221123576
2023-04-03,176.78165375618195
2023-04-04,178.10077972907172
2023-04-05,184.90968156072546
2023-04-06,187.82626699654676
2023-04-07,189.32770874613394
2023-04-08,196.84027695266744
2023-04-09,200.27348853276186
2023-04-10,200.80173978487025
